Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Sleep_Hours,Previous_Scores,Motivation_Level,Tutoring_Sessions,Family_Income,Teacher_Quality,Peer_Influence,Physical_Activity,Parental_Education_Level,Distance_from_Home,Exam_Score,Parental_Involvement_label,Access_to_Resources_label,Motivation_Level_label,Family_Income_label,Teacher_Quality_label,Distance_from_Home_label,Parental_Education_Level_label,Peer_Influence_label,Extracurricular_Activities_label,Internet_Access_label,Learning_Disabilities_label,School_Type_label,Gender_label,Extracurricular_Activities_No,Extracurricular_Activities_Yes,Internet_Access_No,Internet_Access_Yes,Learning_Disabilities_No,Learning_Disabilities_Yes,School_Type_Private,School_Type_Public,Gender_Female,Gender_Male
14,76,3,2,8,59,1,3,2,2.0,2,5,1.0,2.0,D,High,Medium,Low,Medium,Medium,Moderate,High School,Neutral,Yes,Yes,No,Private,Male,False,True,False,True,True,False,True,False,False,True
12,68,3,3,7,75,2,1,2,1.0,3,4,1.0,1.0,D,High,High,Medium,Medium,Low,Near,High School,Positive,Yes,Yes,No,Private,Male,False,True,False,True,True,False,True,False,False,True
14,98,3,3,7,51,2,0,2,1.0,3,1,1.0,1.0,D,High,High,Medium,Medium,Low,Near,High School,Positive,No,Yes,Yes,Public,Male,True,False,False,True,False,True,False,True,False,True
26,80,2,1,6,66,2,2,3,2.0,2,4,3.0,1.0,C,Medium,Low,Medium,High,Medium,Near,Postgraduate,Neutral,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
14,89,2,1,5,67,1,3,1,1.0,2,3,1.0,3.0,D,Medium,Low,Low,Low,Low,Far,High School,Neutral,Yes,No,No,Private,Female,False,True,True,False,True,False,True,False,True,False
36,76,2,2,6,96,2,1,1,2.0,2,2,2.0,1.0,C,Medium,Medium,Medium,Low,Medium,Near,College,Neutral,No,Yes,No,Private,Male,True,False,False,True,True,False,True,False,False,True
23,74,3,1,6,100,1,2,3,1.0,3,3,1.0,1.0,D,High,Low,Low,High,Low,Near,High School,Positive,No,Yes,No,Private,Male,True,False,False,True,True,False,True,False,False,True
21,76,2,2,7,81,2,0,2,3.0,3,2,2.0,2.0,D,Medium,Medium,Medium,Medium,High,Moderate,College,Positive,No,Yes,No,Private,Female,True,False,False,True,True,False,True,False,True,False
15,76,3,3,9,76,2,1,2,3.0,2,2,3.0,3.0,D,High,High,Medium,Medium,High,Far,Postgraduate,Neutral,Yes,Yes,No,Public,Female,False,True,False,True,True,False,False,True,True,False
24,82,1,2,7,72,2,0,2,3.0,3,2,3.0,2.0,D,Low,Medium,Medium,Medium,High,Moderate,Postgraduate,Positive,Yes,Yes,No,Public,Female,False,True,False,True,True,False,False,True,True,False
17,82,3,2,6,51,2,1,1,2.0,3,3,3.0,2.0,D,High,Medium,Medium,Low,Medium,Moderate,Postgraduate,Positive,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
21,80,2,2,8,90,2,0,2,2.0,1,4,2.0,1.0,D,Medium,Medium,Medium,Medium,Medium,Near,College,Negative,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
35,65,3,2,7,84,3,0,2,2.0,3,2,1.0,2.0,C,High,Medium,High,Medium,Medium,Moderate,High School,Positive,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
27,67,1,2,6,90,2,2,3,3.0,2,3,1.0,2.0,D,Low,Medium,Medium,High,High,Moderate,High School,Neutral,Yes,Yes,No,Private,Male,False,True,False,True,True,False,True,False,False,True
16,65,1,3,9,96,1,2,1,2.0,1,2,1.0,1.0,D,Low,High,Low,Low,Medium,Near,High School,Negative,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
20,97,2,3,9,69,1,0,1,1.0,1,3,1.0,1.0,D,Medium,High,Low,Low,Low,Near,High School,Negative,No,Yes,Yes,Public,Male,True,False,False,True,False,True,False,True,False,True
31,76,2,2,9,83,2,2,3,2.0,1,3,1.0,2.0,C,Medium,Medium,Medium,High,Medium,Moderate,High School,Negative,Yes,Yes,No,Private,Female,False,True,False,True,True,False,True,False,True,False
24,96,1,3,6,93,2,2,1,2.0,2,2,1.0,2.0,A,Low,High,Medium,Low,Medium,Moderate,High School,Neutral,No,Yes,No,Public,Female,True,False,False,True,True,False,False,True,True,False
17,86,2,2,7,61,2,2,3,2.0,3,3,1.0,2.0,D,Medium,Medium,Medium,High,Medium,Moderate,High School,Positive,No,No,No,Public,Male,True,False,True,False,True,False,False,True,False,True
24,91,1,1,7,66,3,2,1,3.0,2,3,1.0,1.0,D,Low,Low,High,Low,High,Near,High School,Neutral,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
26,75,3,2,5,70,1,0,3,1.0,2,2,3.0,1.0,D,High,Medium,Low,High,Low,Near,Postgraduate,Neutral,No,Yes,No,Private,Male,True,False,False,True,True,False,True,False,False,True
24,98,3,1,8,66,3,2,1,2.0,3,1,1.0,2.0,C,High,Low,High,Low,Medium,Moderate,High School,Positive,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
16,94,2,2,7,76,1,2,2,2.0,2,3,1.0,1.0,D,Medium,Medium,Low,Medium,Medium,Near,High School,Neutral,No,Yes,Yes,Public,Female,True,False,False,True,False,True,False,True,True,False
19,67,1,2,8,98,2,2,1,2.0,1,2,3.0,1.0,D,Low,Medium,Medium,Low,Medium,Near,Postgraduate,Negative,Yes,Yes,No,Private,Female,False,True,False,True,True,False,True,False,True,False
20,71,2,2,9,66,2,1,2,1.0,1,5,2.0,1.0,D,Medium,Medium,Medium,Medium,Low,Near,College,Negative,Yes,Yes,Yes,Private,Female,False,True,False,True,False,True,True,False,True,False
24,71,2,3,6,52,2,2,2,2.0,2,3,2.0,3.0,D,Medium,High,Medium,Medium,Medium,Far,College,Neutral,Yes,Yes,No,Private,Female,False,True,False,True,True,False,True,False,True,False
21,71,3,2,8,57,1,2,3,2.0,3,1,3.0,1.0,D,High,Medium,Low,High,Medium,Near,Postgraduate,Positive,Yes,No,No,Public,Female,False,True,True,False,True,False,False,True,True,False
12,94,1,3,6,61,2,3,3,3.0,2,4,2.0,1.0,D,Low,High,Medium,High,High,Near,College,Neutral,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
24,63,3,2,8,59,1,1,1,2.0,2,3,1.0,1.0,D,High,Medium,Low,Low,Medium,Near,High School,Neutral,No,Yes,Yes,Public,Male,True,False,False,True,False,True,False,True,False,True
25,69,3,2,7,56,2,2,1,2.0,2,4,1.0,1.0,D,High,Medium,Medium,Low,Medium,Near,High School,Neutral,Yes,Yes,No,Private,Male,False,True,False,True,True,False,True,False,False,True
23,92,1,2,8,54,2,0,3,1.0,3,1,3.0,1.0,D,Low,Medium,Medium,High,Low,Near,Postgraduate,Positive,No,Yes,No,Public,Female,True,False,False,True,True,False,False,True,True,False
10,60,2,2,9,85,2,0,2,3.0,3,4,3.0,1.0,D,Medium,Medium,Medium,Medium,High,Near,Postgraduate,Positive,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
23,77,1,2,8,96,2,1,3,2.0,2,1,2.0,1.0,D,Low,Medium,Medium,High,Medium,Near,College,Neutral,Yes,Yes,Yes,Private,Male,False,True,False,True,False,True,True,False,False,True
21,76,2,3,8,83,2,0,1,2.0,3,5,1.0,1.0,D,Medium,High,Medium,Low,Medium,Near,High School,Positive,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
22,65,1,2,7,97,1,2,2,3.0,2,4,1.0,2.0,D,Low,Medium,Low,Medium,High,Moderate,High School,Neutral,No,Yes,No,Private,Female,True,False,False,True,True,False,True,False,True,False
12,87,2,1,7,62,2,2,2,2.0,2,4,1.0,1.0,D,Medium,Low,Medium,Medium,Medium,Near,High School,Neutral,Yes,No,No,Public,Female,False,True,True,False,True,False,False,True,True,False
14,88,2,2,8,67,2,2,3,1.0,2,3,3.0,3.0,D,Medium,Medium,Medium,High,Low,Far,Postgraduate,Neutral,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
26,89,2,1,7,92,2,2,1,3.0,3,2,3.0,2.0,C,Medium,Low,Medium,Low,High,Moderate,Postgraduate,Positive,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
20,89,2,3,8,91,2,2,2,2.0,3,3,1.0,1.0,C,Medium,High,Medium,Medium,Medium,Near,High School,Positive,Yes,Yes,No,Public,Female,False,True,False,True,True,False,False,True,True,False
24,60,2,3,9,83,3,2,2,1.0,3,3,1.0,1.0,D,Medium,High,High,Medium,Low,Near,High School,Positive,Yes,Yes,Yes,Public,Male,False,True,False,True,False,True,False,True,False,True
20,93,3,2,4,51,1,1,2,2.0,3,3,1.0,1.0,D,High,Medium,Low,Medium,Medium,Near,High School,Positive,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
26,96,3,3,10,64,1,2,2,2.0,2,3,1.0,1.0,C,High,High,Low,Medium,Medium,Near,High School,Neutral,Yes,Yes,Yes,Private,Female,False,True,False,True,False,True,True,False,True,False
17,61,1,1,6,58,2,1,2,3.0,2,4,1.0,1.0,D,Low,Low,Medium,Medium,High,Near,High School,Neutral,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
21,97,2,2,7,53,2,0,3,2.0,2,2,1.0,2.0,D,Medium,Medium,Medium,High,Medium,Moderate,High School,Neutral,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
17,92,2,3,8,89,2,0,1,1.0,3,3,1.0,1.0,D,Medium,High,Medium,Low,Low,Near,High School,Positive,No,Yes,Yes,Public,Male,True,False,False,True,False,True,False,True,False,True
17,93,1,2,9,57,3,3,1,3.0,2,2,2.0,1.0,D,Low,Medium,High,Low,High,Near,College,Neutral,Yes,Yes,No,Private,Male,False,True,False,True,True,False,True,False,False,True
18,64,2,1,10,68,1,1,1,2.0,3,5,1.0,1.0,D,Medium,Low,Low,Low,Medium,Near,High School,Positive,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
17,98,2,3,9,70,1,1,3,2.0,1,2,1.0,1.0,C,Medium,High,Low,High,Medium,Near,High School,Negative,Yes,Yes,No,Private,Male,False,True,False,True,True,False,True,False,False,True
28,87,1,1,7,57,2,2,2,3.0,1,4,1.0,2.0,D,Low,Low,Medium,Medium,High,Moderate,High School,Negative,Yes,Yes,No,Private,Male,False,True,False,True,True,False,True,False,False,True
15,83,3,2,10,84,2,1,3,3.0,1,2,2.0,1.0,D,High,Medium,Medium,High,High,Near,College,Negative,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
19,98,2,3,9,90,1,1,3,2.0,3,2,2.0,3.0,C,Medium,High,Low,High,Medium,Far,College,Positive,No,No,No,Private,Female,True,False,True,False,True,False,True,False,True,False
17,78,2,3,7,64,2,0,1,2.0,2,3,1.0,1.0,D,Medium,High,Medium,Low,Medium,Near,High School,Neutral,No,Yes,No,Private,Female,True,False,False,True,True,False,True,False,True,False
29,84,3,2,6,90,2,0,2,3.0,3,3,3.0,3.0,C,High,Medium,Medium,Medium,High,Far,Postgraduate,Positive,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
21,79,3,2,4,64,1,0,1,3.0,1,4,2.0,2.0,D,High,Medium,Low,Low,High,Moderate,College,Negative,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
26,97,2,2,8,85,1,2,3,1.0,2,3,1.0,1.0,C,Medium,Medium,Low,High,Low,Near,High School,Neutral,No,No,No,Public,Male,True,False,True,False,True,False,False,True,False,True
11,63,3,2,9,56,3,2,2,2.0,2,3,1.0,1.0,D,High,Medium,High,Medium,Medium,Near,High School,Neutral,Yes,Yes,No,Public,Female,False,True,False,True,True,False,False,True,True,False
22,80,2,2,8,71,3,2,1,2.0,3,3,1.0,1.0,D,Medium,Medium,High,Low,Medium,Near,High School,Positive,Yes,Yes,No,Private,Female,False,True,False,True,True,False,True,False,True,False
25,87,2,3,4,76,1,1,1,3.0,3,4,2.0,3.0,C,Medium,High,Low,Low,High,Far,College,Positive,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
20,92,2,1,5,86,1,0,2,2.0,2,2,3.0,2.0,D,Medium,Low,Low,Medium,Medium,Moderate,Postgraduate,Neutral,No,Yes,No,Public,Female,True,False,False,True,True,False,False,True,True,False
26,83,3,1,8,83,2,2,1,3.0,2,2,2.0,1.0,C,High,Low,Medium,Low,High,Near,College,Neutral,Yes,Yes,No,Public,Female,False,True,False,True,True,False,False,True,True,False
17,96,2,2,10,93,2,2,2,1.0,1,4,1.0,1.0,C,Medium,Medium,Medium,Medium,Low,Near,High School,Negative,Yes,Yes,No,Public,Female,False,True,False,True,True,False,False,True,True,False
28,98,2,2,7,59,2,1,1,2.0,3,3,1.0,1.0,C,Medium,Medium,Medium,Low,Medium,Near,High School,Positive,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
34,63,2,3,9,83,2,2,2,3.0,1,2,2.0,2.0,D,Medium,High,Medium,Medium,High,Moderate,College,Negative,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
18,76,2,3,5,56,2,1,1,1.0,1,2,2.0,2.0,D,Medium,High,Medium,Low,Low,Moderate,College,Negative,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
17,61,2,2,7,74,3,0,2,2.0,2,2,3.0,1.0,D,Medium,Medium,High,Medium,Medium,Near,Postgraduate,Neutral,No,Yes,No,Public,Female,True,False,False,True,True,False,False,True,True,False
29,73,2,2,7,76,2,2,1,3.0,2,3,1.0,1.0,D,Medium,Medium,Medium,Low,High,Near,High School,Neutral,No,Yes,No,Private,Female,True,False,False,True,True,False,True,False,True,False
29,81,1,2,9,51,1,2,2,2.0,3,5,3.0,1.0,C,Low,Medium,Low,Medium,Medium,Near,Postgraduate,Positive,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
17,96,2,2,6,54,2,1,2,2.0,3,4,1.0,1.0,D,Medium,Medium,Medium,Medium,Medium,Near,High School,Positive,Yes,Yes,No,Private,Male,False,True,False,True,True,False,True,False,False,True
17,94,2,2,10,92,1,2,1,2.0,1,2,1.0,1.0,D,Medium,Medium,Low,Low,Medium,Near,High School,Negative,No,Yes,No,Private,Male,True,False,False,True,True,False,True,False,False,True
18,65,3,2,7,64,2,2,3,2.0,3,1,1.0,1.0,D,High,Medium,Medium,High,Medium,Near,High School,Positive,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
12,64,2,1,5,67,2,3,1,2.0,3,2,1.0,1.0,F,Medium,Low,Medium,Low,Medium,Near,High School,Positive,No,Yes,Yes,Private,Male,True,False,False,True,False,True,True,False,False,True
14,84,2,2,5,82,2,3,1,2.0,3,3,2.0,3.0,D,Medium,Medium,Medium,Low,Medium,Far,College,Positive,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
14,81,3,2,6,61,1,0,1,2.0,3,4,1.0,2.0,D,High,Medium,Low,Low,Medium,Moderate,High School,Positive,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
21,97,2,3,6,53,1,0,1,2.0,1,3,1.0,2.0,D,Medium,High,Low,Low,Medium,Moderate,High School,Negative,Yes,Yes,Yes,Public,Male,False,True,False,True,False,True,False,True,False,True
29,76,2,2,8,96,1,2,1,2.0,3,2,3.0,2.0,A,Medium,Medium,Low,Low,Medium,Moderate,Postgraduate,Positive,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
14,96,2,3,4,97,1,2,2,2.0,1,3,1.0,1.0,C,Medium,High,Low,Medium,Medium,Near,High School,Negative,Yes,Yes,No,Public,Female,False,True,False,True,True,False,False,True,True,False
26,75,1,2,6,72,2,0,1,3.0,2,3,1.0,1.0,D,Low,Medium,Medium,Low,High,Near,High School,Neutral,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
20,79,2,1,6,74,1,2,1,2.0,3,2,1.0,3.0,D,Medium,Low,Low,Low,Medium,Far,High School,Positive,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
24,65,2,2,7,55,1,1,1,3.0,3,3,1.0,1.0,D,Medium,Medium,Low,Low,High,Near,High School,Positive,No,Yes,Yes,Private,Female,True,False,False,True,False,True,True,False,True,False
13,97,3,3,7,70,2,1,1,3.0,2,4,3.0,1.0,C,High,High,Medium,Low,High,Near,Postgraduate,Neutral,No,Yes,No,Public,Female,True,False,False,True,True,False,False,True,True,False
22,78,3,2,7,54,2,1,2,2.0,1,3,1.0,2.0,D,High,Medium,Medium,Medium,Medium,Moderate,High School,Negative,No,Yes,Yes,Public,Male,True,False,False,True,False,True,False,True,False,True
21,89,1,2,9,85,1,1,2,2.0,1,5,2.0,3.0,D,Low,Medium,Low,Medium,Medium,Far,College,Negative,Yes,Yes,No,Public,Female,False,True,False,True,True,False,False,True,True,False
23,75,2,2,7,64,3,1,1,2.0,1,3,1.0,2.0,D,Medium,Medium,High,Low,Medium,Moderate,High School,Negative,No,Yes,Yes,Public,Male,True,False,False,True,False,True,False,True,False,True
22,61,1,1,10,76,3,1,3,3.0,3,2,2.0,1.0,D,Low,Low,High,High,High,Near,College,Positive,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
35,64,2,2,8,51,2,2,2,2.0,1,5,1.0,1.0,D,Medium,Medium,Medium,Medium,Medium,Near,High School,Negative,Yes,Yes,Yes,Public,Male,False,True,False,True,False,True,False,True,False,True
16,80,3,2,6,76,2,1,2,3.0,3,4,2.0,1.0,D,High,Medium,Medium,Medium,High,Near,College,Positive,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
17,88,2,2,10,50,2,3,1,3.0,2,5,2.0,2.0,D,Medium,Medium,Medium,Low,High,Moderate,College,Neutral,No,Yes,No,Public,Female,True,False,False,True,True,False,False,True,True,False
16,73,1,3,7,96,2,1,2,2.0,3,3,1.0,2.0,D,Low,High,Medium,Medium,Medium,Moderate,High School,Positive,Yes,Yes,No,Private,Female,False,True,False,True,True,False,True,False,True,False
17,88,2,2,10,75,2,2,2,2.0,2,3,1.0,1.0,D,Medium,Medium,Medium,Medium,Medium,Near,High School,Neutral,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
16,88,1,2,7,55,2,3,1,1.0,2,3,3.0,1.0,D,Low,Medium,Medium,Low,Low,Near,Postgraduate,Neutral,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
27,88,2,2,7,67,2,3,3,2.0,2,4,2.0,3.0,C,Medium,Medium,Medium,High,Medium,Far,College,Neutral,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
17,97,2,3,7,77,2,0,1,2.0,1,4,2.0,3.0,D,Medium,High,Medium,Low,Medium,Far,College,Negative,No,Yes,No,Private,Male,True,False,False,True,True,False,True,False,False,True
15,80,3,1,9,56,3,3,2,2.0,2,3,1.0,1.0,D,High,Low,High,Medium,Medium,Near,High School,Neutral,No,Yes,Yes,Public,Female,True,False,False,True,False,True,False,True,True,False
23,78,2,2,10,74,1,3,2,2.0,1,4,1.0,2.0,D,Medium,Medium,Low,Medium,Medium,Moderate,High School,Negative,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
17,68,3,2,4,65,3,0,2,2.0,3,2,1.0,2.0,D,High,Medium,High,Medium,Medium,Moderate,High School,Positive,Yes,Yes,No,Private,Male,False,True,False,True,True,False,True,False,False,True
24,72,3,1,8,88,3,3,1,2.0,3,2,1.0,1.0,D,High,Low,High,Low,Medium,Near,High School,Positive,Yes,Yes,No,Public,Female,False,True,False,True,True,False,False,True,True,False
21,62,2,1,6,74,3,0,1,3.0,3,3,3.0,3.0,D,Medium,Low,High,Low,High,Far,Postgraduate,Positive,No,Yes,Yes,Private,Male,True,False,False,True,False,True,True,False,False,True
11,85,2,1,4,92,1,0,2,3.0,2,1,2.0,1.0,D,Medium,Low,Low,Medium,High,Near,College,Neutral,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
29,70,1,3,8,97,1,3,1,3.0,3,3,3.0,2.0,C,Low,High,Low,Low,High,Moderate,Postgraduate,Positive,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
31,72,2,2,8,98,3,0,1,2.0,2,4,2.0,3.0,D,Medium,Medium,High,Low,Medium,Far,College,Neutral,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
16,91,2,2,8,63,3,2,2,3.0,2,3,2.0,1.0,D,Medium,Medium,High,Medium,High,Near,College,Neutral,No,Yes,No,Public,Female,True,False,False,True,True,False,False,True,True,False
18,73,1,2,8,88,1,3,1,2.0,3,4,2.0,2.0,D,Low,Medium,Low,Low,Medium,Moderate,College,Positive,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
22,70,2,3,8,72,2,2,3,2.0,2,3,1.0,1.0,D,Medium,High,Medium,High,Medium,Near,High School,Neutral,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
24,91,3,2,7,93,1,0,2,2.0,3,2,1.0,2.0,C,High,Medium,Low,Medium,Medium,Moderate,High School,Positive,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
32,65,2,1,8,57,1,2,1,2.0,3,3,1.0,2.0,D,Medium,Low,Low,Low,Medium,Moderate,High School,Positive,Yes,Yes,No,Public,Female,False,True,False,True,True,False,False,True,True,False
19,78,2,2,9,74,1,2,1,2.0,3,5,1.0,2.0,D,Medium,Medium,Low,Low,Medium,Moderate,High School,Positive,Yes,Yes,No,Public,Female,False,True,False,True,True,False,False,True,True,False
15,80,3,2,7,80,2,0,1,1.0,2,5,1.0,1.0,D,High,Medium,Medium,Low,Low,Near,High School,Neutral,No,Yes,No,Public,Female,True,False,False,True,True,False,False,True,True,False
12,87,2,2,7,53,1,2,2,2.0,2,1,2.0,1.0,D,Medium,Medium,Low,Medium,Medium,Near,College,Neutral,Yes,Yes,No,Private,Male,False,True,False,True,True,False,True,False,False,True
16,85,1,2,7,93,3,1,2,3.0,3,3,1.0,1.0,D,Low,Medium,High,Medium,High,Near,High School,Positive,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
20,92,2,2,5,66,2,2,2,2.0,1,2,2.0,2.0,D,Medium,Medium,Medium,Medium,Medium,Moderate,College,Negative,Yes,Yes,Yes,Public,Male,False,True,False,True,False,True,False,True,False,True
31,62,3,2,8,83,2,0,2,3.0,2,2,2.0,1.0,D,High,Medium,Medium,Medium,High,Near,College,Neutral,No,Yes,Yes,Private,Female,True,False,False,True,False,True,True,False,True,False
17,72,1,2,5,96,3,3,3,2.0,1,3,1.0,2.0,D,Low,Medium,High,High,Medium,Moderate,High School,Negative,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
21,71,2,1,8,86,2,2,2,3.0,2,2,2.0,1.0,D,Medium,Low,Medium,Medium,High,Near,College,Neutral,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
20,66,2,2,7,94,1,0,2,1.0,2,4,1.0,2.0,D,Medium,Medium,Low,Medium,Low,Moderate,High School,Neutral,Yes,Yes,No,Public,Female,False,True,False,True,True,False,False,True,True,False
35,72,3,3,5,75,2,1,1,2.0,3,5,2.0,2.0,C,High,High,Medium,Low,Medium,Moderate,College,Positive,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
17,81,2,3,6,78,2,2,1,2.0,3,2,1.0,2.0,D,Medium,High,Medium,Low,Medium,Moderate,High School,Positive,No,Yes,No,Private,Male,True,False,False,True,True,False,True,False,False,True
17,87,3,1,6,84,2,0,2,2.0,3,3,2.0,3.0,D,High,Low,Medium,Medium,Medium,Far,College,Positive,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
26,75,1,2,9,56,2,1,1,2.0,3,5,1.0,2.0,D,Low,Medium,Medium,Low,Medium,Moderate,High School,Positive,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
24,89,1,2,7,83,2,1,1,1.0,2,3,1.0,2.0,D,Low,Medium,Medium,Low,Low,Moderate,High School,Neutral,No,No,No,Public,Male,True,False,True,False,True,False,False,True,False,True
31,73,3,2,8,57,2,2,1,3.0,2,4,1.0,3.0,D,High,Medium,Medium,Low,High,Far,High School,Neutral,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
24,72,2,1,9,53,2,0,1,3.0,2,4,1.0,2.0,D,Medium,Low,Medium,Low,High,Moderate,High School,Neutral,Yes,Yes,Yes,Private,Male,False,True,False,True,False,True,True,False,False,True
18,82,1,2,9,73,1,2,1,2.0,3,4,2.0,1.0,D,Low,Medium,Low,Low,Medium,Near,College,Positive,No,Yes,No,Public,Female,True,False,False,True,True,False,False,True,True,False
24,61,2,2,7,80,3,0,1,2.0,3,3,3.0,2.0,D,Medium,Medium,High,Low,Medium,Moderate,Postgraduate,Positive,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
27,63,3,2,6,98,2,1,1,3.0,3,2,1.0,2.0,D,High,Medium,Medium,Low,High,Moderate,High School,Positive,Yes,Yes,No,Public,Female,False,True,False,True,True,False,False,True,True,False
25,77,3,3,8,85,2,2,2,2.0,3,1,2.0,1.0,C,High,High,Medium,Medium,Medium,Near,College,Positive,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
26,89,2,1,10,61,1,0,2,3.0,2,3,1.0,2.0,D,Medium,Low,Low,Medium,High,Moderate,High School,Neutral,Yes,Yes,No,Public,Female,False,True,False,True,True,False,False,True,True,False
27,64,3,1,8,58,2,2,3,3.0,2,1,3.0,3.0,D,High,Low,Medium,High,High,Far,Postgraduate,Neutral,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
28,94,2,3,7,80,2,3,1,3.0,3,4,3.0,3.0,C,Medium,High,Medium,Low,High,Far,Postgraduate,Positive,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
24,89,2,3,8,61,2,1,1,3.0,3,3,3.0,1.0,C,Medium,High,Medium,Low,High,Near,Postgraduate,Positive,Yes,Yes,No,Public,Female,False,True,False,True,True,False,False,True,True,False
19,84,3,1,7,85,2,1,3,2.0,2,3,1.0,1.0,D,High,Low,Medium,High,Medium,Near,High School,Neutral,Yes,Yes,No,Private,Male,False,True,False,True,True,False,True,False,False,True
21,93,2,2,6,56,2,1,1,2.0,3,3,1.0,1.0,D,Medium,Medium,Medium,Low,Medium,Near,High School,Positive,Yes,No,No,Public,Male,False,True,True,False,True,False,False,True,False,True
27,76,1,3,8,67,2,1,2,2.0,3,4,1.0,1.0,D,Low,High,Medium,Medium,Medium,Near,High School,Positive,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
15,69,2,2,7,89,2,1,1,3.0,1,2,2.0,2.0,D,Medium,Medium,Medium,Low,High,Moderate,College,Negative,Yes,Yes,No,Public,Female,False,True,False,True,True,False,False,True,True,False
22,80,2,3,10,92,2,0,2,3.0,3,2,1.0,1.0,C,Medium,High,Medium,Medium,High,Near,High School,Positive,Yes,Yes,No,Public,Female,False,True,False,True,True,False,False,True,True,False
18,82,1,2,6,67,1,1,3,1.0,3,3,3.0,2.0,D,Low,Medium,Low,High,Low,Moderate,Postgraduate,Positive,Yes,Yes,No,Private,Male,False,True,False,True,True,False,True,False,False,True
20,82,1,1,8,60,2,3,2,3.0,3,4,1.0,2.0,D,Low,Low,Medium,Medium,High,Moderate,High School,Positive,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
28,83,2,3,6,98,2,1,1,3.0,2,2,3.0,2.0,C,Medium,High,Medium,Low,High,Moderate,Postgraduate,Neutral,No,Yes,No,Private,Male,True,False,False,True,True,False,True,False,False,True
